Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),SO2,PM25
09/29/2001,23,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,23,.
09/30/2001,65,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,65,.
10-01-2001,104,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,104,.
10-02-2001,80,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,80,.
10-03-2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
10-04-2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
10-05-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
10-06-2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
10-07-2001,19,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,19,.
10-08-2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
10-09-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
10-10-2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
10-11-2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
10-12-2001,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
10/13/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
10/14/2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
10/15/2001,52,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,52,.
10/16/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
10/17/2001,36,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,36,.
10/18/2001,13,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,13,.
10/19/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
10/20/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
10/21/2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
10/22/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
10/23/2001,17,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,17,.
10/24/2001,26,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,26,.
10/25/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
10/26/2001,34,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,34,.
