Wens AQI,CO,Ozone,SO2,PM10,PM25,NO2
215.54,32,192,60,56,91,109
100.06,22,67,27,55,79,83
58.76,15,48,43,22,41,48
83.25,20,37,69,28,60,65
65.46,20,27,31,39,56,41
73.25,19,37,61,18,57,48
80.99,10,50,70,19,38,45
85.14,13,44,60,14,57,72
121.97,22,51,107,29,53,70
130.82,27,115,54,46,67,68
185.61,27,166,24,54,94,73
185.72,24,164,52,77,97,87
229.61,25,204,76,67,119,93
250.47,31,223,111,74,121,99
247.04,32,219,64,62,134,102
238.36,39,215,85,76,102,89
107.38,33,84,50,55,88,85
124.45,19,108,55,31,52,79
81.75,17,44,70,21,43,54
136.32,31,115,87,37,76,96
159.43,36,143,51,45,73,64
204.94,27,187,56,45,84,61
111.22,18,49,43,57,98,53
98.86,20,61,75,63,82,52
178.05,25,154,49,76,114,84
106.18,20,90,51,43,77,51
120.79,16,108,61,33,42,36
133.96,30,119,50,33,65,65
198.6,39,177,76,47,101,66
177.66,27,156,81,56,96,85
103.71,18,90,41,33,63,52
65.4,11,49,24,28,52,54
59.6,17,49,36,33,37,48
105.51,27,93,47,40,54,48
140.24,23,126,49,49,63,52
212.73,49,192,92,35,65,86
230.23,18,208,81,54,87,100
189.96,16,164,114,58,102,110
190.44,20,164,40,72,125,105
236.39,16,212,57,62,112,101
98.37,17,54,47,38,83,72
170.45,19,154,51,47,73,67
121.08,19,105,50,37,71,70
93.37,15,77,52,44,67,73
61.16,10,43,27,31,45,51
103.42,15,51,84,23,33,87
101.18,19,51,34,38,80,85
225.57,18,203,72,55,102,91
96.05,19,74,39,34,66,80
85.72,14,71,31,23,66,68
81.32,16,44,54,29,52,69
179.96,16,161,82,32,58,86
183.25,17,161,71,58,84,102
113.27,16,93,55,63,90,85
84.41,13,51,72,23,54,54
164.12,25,147,64,52,72,73
171.05,25,150,64,54,104,46
98.86,11,84,34,31,62,69
103.6,13,36,37,30,62,91
86.71,13,42,77,25,40,39
89.69,16,58,76,26,48,61
165.32,19,150,41,38,69,64
196.15,22,177,46,43,88,79
236.19,17,217,61,49,93,52
132.72,13,115,69,58,80,49
63.7,11,46,29,33,53,47
67.04,15,35,21,26,48,57
76.26,15,61,24,49,63,50
69.36,18,44,49,30,55,57
65.5,16,45,51,41,54,31
128.25,15,49,116,41,53,44
60.31,16,43,17,18,40,51
64.55,20,44,31,29,53,53
119.71,19,101,26,50,90,70
75.67,14,46,34,30,53,64
115.49,14,46,100,19,65,72
81.21,18,67,33,31,66,57
108.57,23,93,64,30,70,52
114.75,7,54,102,27,56,52
117.36,10,101,71,32,73,56
103.76,9,67,89,31,58,55
125.12,20,108,77,34,71,57
138.63,19,122,54,49,78,53
140.04,22,122,62,37,86,54
139.02,26,119,66,51,96,52
93.74,24,74,34,58,78,41
104.05,16,44,91,28,55,58
101.16,16,58,62,43,47,87
89.91,20,50,75,34,44,71
147.62,25,129,59,37,74,85
215.88,27,195,65,63,94,79
223.41,30,195,109,60,132,83
178.58,32,154,69,64,115,87
163.95,26,115,139,80,88,72
70.94,17,42,61,24,37,43
90.76,26,50,76,55,64,56
115.25,28,87,96,60,61,70
168.91,31,147,99,47,87,73
77.02,15,67,23,33,47,34
70.81,30,46,54,42,53,58
126.44,32,71,104,60,87,101
85.58,24,48,21,37,72,65
71.52,18,28,59,55,53,44
68.25,20,26,29,59,36,41
96.29,19,46,81,19,36,78
108.38,18,33,59,32,41,96
100.8,17,39,56,67,50,86
80.65,24,32,59,20,26,69
69.26,31,49,31,51,52,57
129.19,28,74,57,56,112,71
79.41,15,46,44,34,67,56
119.24,32,101,46,40,89,57
116.65,32,80,67,49,99,50
105.74,20,71,64,63,67,89
109.78,24,58,47,50,78,93
81.34,22,44,39,27,71,44
69.74,22,26,43,30,58,55
63.24,23,32,50,19,52,49
71.78,38,33,37,33,62,41
57.26,38,40,40,42,47,39
68.78,33,29,49,44,57,50
76.87,32,36,34,49,58,64
108.89,27,31,94,55,66,60
91.26,35,33,39,59,76,70
161.03,36,41,60,63,145,70
104.12,31,31,23,58,92,39
93.86,27,31,36,53,82,46
69.56,33,35,20,38,58,54
79.3,31,29,65,64,55,52
82.44,25,35,30,19,36,74
70.4,30,22,43,24,59,53
77.74,36,33,37,39,60,65
88.66,32,26,74,40,74,33
89.32,32,32,46,19,79,39
84,38,31,39,39,68,70
82.17,28,19,64,31,64,68
74.26,16,28,43,42,57,62
64.54,28,29,54,10,52,30
81.39,32,20,20,27,71,51
71.47,27,17,34,18,63,38
55.96,28,27,20,12,49,30
69.42,20,29,59,14,39,49
64.2,20,27,54,39,45,38
95.97,17,31,69,16,50,82
119.83,18,22,49,23,62,107
71.33,22,25,43,19,61,47
62.18,26,24,47,23,52,38
77.45,28,19,40,20,68,42
130.86,34,26,82,46,112,86
108.98,35,16,51,31,97,53
104.11,22,18,54,32,93,35
95.55,34,24,39,60,82,57
70.99,23,33,30,51,37,60
69.74,22,31,13,52,59,35
104.34,19,19,56,31,93,35
77.05,19,12,30,34,55,66
80.8,27,19,34,21,70,53
80.36,26,26,59,44,67,57
57.58,23,32,30,17,45,48
49.89,16,33,34,25,24,42
57.04,17,32,20,49,35,31
63.58,26,29,26,19,54,46
106.44,32,10,50,50,92,68
95.96,27,17,46,20,81,77
109.02,31,10,64,35,76,93
130.73,30,26,118,36,56,55
144.93,33,23,126,42,62,94
102.43,35,20,41,24,60,90
64.42,20,19,55,29,45,30
90.2,22,21,77,40,52,61
88.61,24,12,37,28,76,64
95.44,30,22,29,22,84,58
129.75,31,19,61,37,117,41
118.98,23,20,110,17,39,40
156.41,18,31,80,119,133,38
79.33,23,22,67,25,61,40
108.86,23,33,39,14,51,98
88.18,32,27,54,31,73,73
88.28,31,31,40,44,74,69
110.08,24,19,46,28,95,77
86.49,31,13,37,45,76,45
88.48,27,17,50,26,78,35
93.73,25,29,77,76,72,45
98.99,42,19,76,58,80,81
114.62,34,11,70,59,99,63
120.65,36,11,101,71,87,87
102.29,34,7,27,38,91,54
126.64,32,10,40,35,116,48
114.92,24,15,37,38,106,37
99.79,23,35,87,24,65,29
68.57,24,35,47,50,57,39
75.11,25,18,29,29,67,36
75.03,22,24,16,30,66,43
84.98,23,13,49,17,64,72
51.95,20,21,29,13,44,37
56.03,24,23,47,14,39,40
67.44,20,21,57,17,53,30
69.44,19,25,44,16,59,48
83.01,20,23,29,20,73,50
80.73,17,21,70,33,53,27
114.19,27,19,101,23,66,42
104.98,27,13,61,43,92,46
162.84,32,15,20,45,153,38
133.69,35,27,36,40,124,40
79.7,25,27,49,28,69,40
114.79,18,26,80,42,98,65
56.97,17,30,50,19,21,30
81.11,18,28,14,18,39,73
109.03,28,25,41,36,83,93
91.76,36,18,21,28,81,52
102.73,26,14,21,31,95,34
86.17,20,27,60,29,73,57
69.53,18,13,44,22,60,40
120.19,15,22,110,25,48,38
106.13,9,26,95,36,52,40
71.56,9,24,49,59,58,42
65.56,11,27,56,33,43,36
57.08,15,25,33,24,48,42
86.2,13,26,50,72,65,56
74.52,11,24,44,34,64,47
111.73,16,23,46,33,99,61
114.45,19,28,97,76,78,60
98.21,20,29,39,82,76,65
75.87,20,20,40,21,67,37
72.66,17,27,62,25,49,42
83.65,14,27,51,69,66,61
117.25,14,29,59,81,99,82
161.37,13,27,50,137,133,55
149.4,13,26,77,106,128,50
87.21,23,20,46,30,76,51
61.98,22,27,52,31,45,37
97.29,15,33,74,70,81,44
97.76,33,26,47,51,83,69
100.55,25,12,59,49,87,60
79.95,23,25,44,19,67,64
111.16,25,25,31,28,99,62
90.58,25,9,65,37,77,50
96.52,25,15,21,27,89,34
125.79,24,11,37,45,116,30
101.6,28,18,46,43,89,58
75.95,16,27,59,52,63,40
66.1,24,22,36,25,54,55
65.69,23,23,54,30,53,49
68.53,15,26,30,28,58,52
75.76,14,30,36,26,67,38
64.6,15,28,55,17,30,47
103.99,17,29,91,42,58,54
120.01,16,31,60,104,75,49
64.39,11,30,52,39,53,42
81.88,26,27,54,39,64,68
127.37,40,34,44,61,107,102
43.54,14,33,36,29,22,28
59.05,15,35,47,49,27,28
92.16,20,29,20,23,79,71
93.47,17,19,31,33,83,51
79.53,19,28,66,34,62,56
85.51,19,27,69,44,71,51
100.29,24,20,62,53,86,63
79.22,25,33,11,67,55,54
97.45,18,35,46,51,86,31
70.83,17,30,51,28,59,53
109.34,22,24,89,37,91,71
150.14,25,36,41,44,137,61
96.17,24,29,55,45,58,83
148.14,33,28,75,65,127,101
165.29,33,27,33,51,152,61
75.43,18,33,43,44,65,42
68.5,18,26,20,29,58,53
91.89,19,29,41,57,78,63
65.63,11,40,33,18,55,50
83.71,24,39,29,20,70,70
135.69,22,21,39,32,123,63
95.53,24,31,34,31,85,49
81.95,11,38,69,39,62,40
114.93,19,32,96,55,86,82
86.41,19,27,44,55,74,51
106.97,20,31,61,50,93,60
82.41,14,42,47,19,70,58
83.9,28,36,40,56,62,70
110.81,31,30,51,37,99,50
141.75,27,43,41,58,127,66
115.04,27,44,75,47,96,88
118.62,18,36,41,55,105,61
114.74,23,32,50,31,101,65
85.92,26,28,24,51,67,72
83.34,23,32,60,19,41,71
73.77,18,24,50,28,63,41
134.6,22,47,119,37,70,64
74.15,23,49,47,49,57,61
78.86,16,40,43,25,67,55
86.94,22,41,72,50,63,65
67.41,20,41,34,34,56,52
88.26,15,32,75,31,65,42
64.88,14,39,55,28,43,39
58.43,14,41,39,18,40,49
77.28,23,41,49,34,65,54
97.74,16,67,69,47,79,80
141.29,17,51,122,60,88,74
146.95,24,34,51,58,134,39
86.25,23,32,24,40,77,38
72.95,14,45,54,36,61,37
51.47,13,43,30,14,40,28
52.71,17,36,14,14,45,31
64.31,20,46,34,13,53,52
80.9,16,61,67,24,53,61
105.71,25,64,84,38,45,88
136.38,39,64,114,63,74,105
57.24,32,43,43,26,47,37
65.66,22,51,44,23,49,54
137.32,20,122,43,69,63,38
171.28,13,97,44,78,151,41
113.88,36,100,59,52,55,44
67.36,36,36,49,32,56,45
87.65,18,38,37,19,78,43
76.93,19,54,36,41,65,42
86.64,11,44,77,13,43,26
50.41,13,37,40,27,41,40
76,16,48,34,19,28,66
102.85,17,46,89,28,58,62
82.72,18,54,44,48,69,60
67.98,15,50,37,47,56,51
77.32,28,49,61,31,41,64
143.98,24,129,59,48,63,63
88.34,16,64,69,55,69,72
74.6,57,47,61,44,43,56
90.92,23,34,39,28,77,70
55.68,17,46,24,16,42,44
60.71,16,45,36,20,30,51
87.48,38,46,75,25,49,54
76.27,24,45,26,22,52,65
72.2,15,61,26,19,47,52
75.83,13,49,41,24,64,53
74.99,13,47,31,37,61,62
69.05,11,40,27,30,58,52
90.1,16,61,27,35,75,71
75.67,15,61,41,30,59,62
50.17,13,35,43,10,18,24
102.9,13,49,80,71,85,62
89.41,17,74,69,28,59,63
83.44,20,46,21,26,60,71
71.55,20,50,29,31,60,51
87.75,38,58,72,33,66,68
