Wens AQI,CO,Ozone,SO2,PM10,PM25,NO2
122.7,5,105,0,43,101,15
131.88,5,90,0,58,115,19
118.14,5,105,0,35,71,32
152.99,6,140,6,33,69,36
144.95,6,133,3,25,64,34
213.07,8,200,6,35,66,45
188.51,7,174,7,40,76,42
223.85,8,207,6,44,91,39
109.1,10,90,7,59,91,63
135.4,13,105,26,55,115,58
156.68,7,140,1,42,91,39
114.92,5,101,3,35,78,17
86.28,3,77,0,22,52,16
89.82,3,61,0,23,79,23
61.15,7,51,1,25,48,46
117.06,9,105,1,31,58,51
109.53,7,97,1,41,65,29
170.96,6,156,13,39,81,27
165.03,5,151,1,39,77,21
125.85,6,112,0,38,75,29
98.41,7,84,1,37,79,28
121.75,5,108,1,37,75,27
114.55,5,101,3,36,74,26
114.69,5,101,3,33,75,33
159.27,6,147,4,28,66,33
181.77,7,169,4,32,69,32
157.73,6,143,1,44,78,35
189.18,9,174,1,42,81,37
170.01,7,156,4,35,76,34
169.8,9,156,4,39,73,34
142.58,7,129,3,41,72,28
163.45,5,150,1,42,72,22
179.69,5,169,6,32,56,26
142.2,10,129,3,41,67,42
171.96,8,156,3,62,79,41
189.57,6,174,4,51,80,43
171.72,11,156,7,52,79,49
208.04,9,192,9,51,80,55
221.35,9,205,9,47,87,34
199.81,7,187,10,37,67,32
203.73,9,190,11,59,65,36
148,8,136,1,39,60,41
135.07,8,122,10,37,66,43
140.14,14,126,7,37,66,63
142.24,10,129,10,42,64,50
145.04,9,133,7,32,61,40
147.25,7,136,6,31,60,25
128.71,7,115,1,36,74,33
104.83,6,90,3,39,81,29
84.57,6,61,1,37,73,22
120.44,7,105,1,42,85,22
96.82,8,84,0,38,68,28
113.51,8,101,3,40,66,21
112.2,10,100,1,27,65,34
137.33,11,126,3,29,56,42
93.13,11,80,9,31,65,49
173.57,7,159,1,44,76,41
130.12,7,115,4,37,81,41
95.38,7,80,4,51,79,40
101.91,10,90,10,33,60,39
151.01,10,140,9,31,56,34
186.03,9,154,10,40,160,32
114.68,9,101,11,36,68,49
76.29,11,39,7,35,66,49
76.58,8,61,16,39,64,45
75.22,7,48,14,31,65,41
187.38,8,174,7,39,70,35
168.35,7,154,7,42,76,32
93.74,8,71,4,61,79,42
83.25,8,44,6,34,74,35
86.95,7,74,1,36,70,25
107.61,8,93,7,39,77,41
117.74,14,100,11,40,64,89
146.11,17,133,9,34,62,54
161.25,10,147,0,30,74,47
109.52,7,93,3,47,88,40
108.31,13,93,7,44,77,51
101.03,13,87,14,41,68,52
131.54,15,115,19,48,80,61
164.26,9,147,6,51,88,56
157.94,10,140,6,44,97,45
133.98,13,119,7,40,78,43
74.34,8,48,4,44,64,37
85.53,8,67,3,32,73,33
97.28,7,80,7,41,82,45
96.04,8,58,10,44,84,43
87.68,9,50,6,42,77,42
101.52,13,87,16,36,71,54
168.29,13,154,9,42,72,46
121.14,14,105,27,38,74,72
115.56,16,100,19,46,72,66
101.57,10,64,14,42,88,55
91.64,8,77,6,51,75,31
103.06,8,71,6,51,89,32
93.02,11,71,3,50,79,31
103.51,7,90,3,40,72,27
78.92,8,47,4,41,69,31
70.2,10,44,1,35,61,32
52.95,7,40,3,19,45,28
54.4,8,32,1,19,47,35
55.92,11,38,1,22,48,31
71.24,10,50,6,24,61,40
72.18,15,54,6,31,61,42
72,22,49,9,36,61,48
101.13,16,87,13,34,66,62
150.03,15,133,16,43,74,80
82,18,42,6,34,52,71
99.07,7,87,6,37,62,36
69.81,6,48,0,23,61,17
50.24,6,43,4,14,39,19
60.37,6,44,1,44,51,22
55.63,7,44,1,19,47,30
52.88,9,44,1,27,40,41
65.83,13,45,1,33,51,55
73.87,19,49,4,45,54,62
72.39,26,58,11,33,48,60
96,20,84,6,27,55,55
116.07,26,90,19,43,80,97
116.88,16,87,14,51,99,67
115.5,15,48,4,50,103,58
118.1,9,44,6,52,107,43
106.85,10,43,6,44,97,42
110.89,20,58,3,48,98,56
83.24,18,54,4,37,71,56
83.27,24,44,7,36,52,72
83.39,25,41,4,35,72,54
149.46,10,51,6,51,138,50
78.76,7,42,0,31,70,34
48.8,6,41,0,19,37,35
49.05,13,41,1,19,38,34
62.5,11,43,9,22,53,44
69.52,15,44,3,32,59,49
72.68,22,41,3,38,56,61
92.55,24,34,4,40,69,79
94.23,25,30,3,38,81,68
81.76,13,31,3,33,72,48
63.02,7,33,0,14,56,33
61.36,9,36,3,15,54,29
60.8,15,35,4,23,53,35
69.72,23,37,6,30,60,45
92.41,16,38,3,39,82,49
124.94,22,43,14,49,114,43
115.88,24,44,4,38,101,76
68.22,20,39,30,26,57,53
98,19,42,1,28,89,35
124.96,11,39,1,44,115,45
112.02,19,42,10,44,101,50
110.76,13,29,7,45,101,42
75.83,11,31,1,20,69,31
57.03,11,27,1,25,51,25
51.77,9,33,1,19,45,25
41.78,8,34,1,13,35,25
51.27,10,35,1,13,44,31
94.24,17,23,4,34,86,38
118.9,22,31,4,42,107,58
133.43,17,30,9,48,123,44
157.69,25,35,9,56,144,64
165.44,26,34,4,58,153,50
175.53,27,36,7,60,163,44
120.57,30,39,9,56,108,54
96.34,25,34,6,49,85,51
80.74,20,35,1,29,72,40
51.07,16,39,1,12,43,33
65.52,16,32,1,22,57,41
60.91,17,38,1,13,53,32
60.49,18,37,0,14,53,26
67.34,18,38,1,21,59,37
43.64,16,37,3,17,30,29
59.33,18,40,4,24,43,50
64.53,16,36,3,29,52,54
81.6,24,31,10,32,71,52
89.49,34,31,4,37,80,42
73.97,17,40,1,21,66,24
64.66,16,36,0,17,57,32
123.92,27,31,1,47,114,34
82.8,30,39,1,27,74,36
55.65,13,37,1,14,31,48
72.49,19,33,4,26,63,46
82.39,24,31,1,25,74,39
82.24,22,34,1,27,74,37
111.34,24,35,1,41,102,40
153.61,22,43,1,55,142,38
77.56,20,43,9,41,66,54
87.16,26,44,6,46,75,56
75.52,19,39,6,39,65,49
100.38,30,31,6,46,89,52
79.87,23,39,6,30,71,38
67.64,19,40,1,25,58,45
84.25,24,38,16,41,73,52
98.16,30,32,7,44,84,71
59.32,14,39,1,19,51,36
44.97,15,38,3,12,23,35
67.67,19,39,1,24,59,39
86.06,24,38,6,31,77,40
64.58,20,41,3,30,54,50
72.25,26,39,4,32,61,54
87.91,27,39,9,39,76,57
82.46,26,44,6,48,64,69
69.45,19,42,6,33,55,58
70.13,22,42,4,30,59,53
57.95,19,41,9,19,47,48
87.98,26,40,10,33,58,76
89.29,28,31,16,50,63,76
87.01,38,29,7,39,51,76
61.94,19,19,1,15,54,42
63.89,19,18,1,16,57,35
65.55,16,30,4,17,59,27
63.06,14,39,1,16,55,32
45.27,11,39,3,11,23,31
62.42,17,37,3,25,54,38
84.44,22,33,9,46,73,53
83.88,26,35,11,51,71,60
78.91,23,29,7,42,67,58
88.05,26,31,11,42,76,58
60.38,16,39,6,25,52,33
97.83,18,39,9,43,88,43
159.31,15,40,1,47,149,43
118.48,15,43,3,48,108,40
103.64,19,43,1,42,94,35
52.24,14,44,3,14,30,41
71.17,16,40,3,26,62,42
68.26,18,43,6,27,59,37
70.04,18,45,4,32,60,45
66.9,18,40,4,30,57,46
84.91,22,38,6,40,74,51
100.02,25,44,14,49,86,67
87.94,26,43,13,37,56,76
59.26,22,49,9,19,40,49
69.88,17,51,4,30,59,45
83.04,14,48,1,30,73,39
61.64,14,45,0,52,39,33
51.02,13,44,0,13,19,37
59.37,9,43,1,29,50,43
67.56,17,41,10,31,58,43
74.77,18,48,6,47,64,40
65.52,10,45,7,30,56,38
62.63,16,45,9,31,52,49
76.4,14,48,10,41,65,52
73.9,16,49,6,36,49,63
72.46,22,44,9,34,47,62
76.06,15,50,14,36,56,64
73.56,22,61,21,28,57,56
84.25,13,47,7,26,74,47
79.81,8,42,6,33,71,32
112.71,9,45,1,43,103,31
51.55,7,42,3,19,43,34
51.2,5,43,1,12,42,31
51.35,6,44,1,11,35,35
68.08,7,44,1,24,59,37
73.14,11,54,7,30,62,43
86,24,50,7,35,74,55
103.3,22,67,6,40,88,71
91.76,15,64,4,31,64,78
115.46,16,97,4,30,83,89
148.36,14,84,1,36,132,55
134.02,9,58,1,49,122,34
111.76,7,80,1,43,97,23
103.56,6,58,0,42,92,32
118.76,9,49,3,48,108,40
103.97,14,54,3,52,92,48
74.08,8,49,3,32,64,38
87.08,6,64,1,51,74,40
101.65,7,87,0,40,79,33
137.24,8,119,3,40,100,45
123.6,11,93,4,42,106,51
124.67,13,101,1,49,106,40
86.45,6,58,3,40,75,30
94.31,6,44,6,34,85,37
101.2,9,43,7,35,92,36
82.92,7,51,6,26,73,31
59.44,6,33,0,16,53,21
55.89,6,41,1,18,48,25
74.7,7,49,4,26,65,33
100.1,10,74,7,41,86,34
102.75,7,47,0,40,93,28
70.55,6,44,3,25,62,26
74.73,7,50,0,31,65,27
76.65,7,50,0,29,67,28
61.45,6,48,3,50,51,20
64.04,7,54,6,32,48,40
75.9,11,64,3,45,55,50
102.47,13,90,1,30,64,40
92.95,7,74,1,42,79,30
102.68,6,87,0,44,86,23
60.39,3,49,6,33,51,12
62.97,5,48,0,21,54,25
55.44,6,46,1,40,45,28
58.28,7,50,1,24,27,42
68.6,13,58,3,38,41,50
90.98,14,80,6,32,50,50
118.92,8,105,4,36,72,44
168.5,8,154,4,35,79,35
137.88,5,122,3,42,87,30
87.73,5,74,3,44,72,30
100.61,5,87,1,41,73,25
84.38,5,74,4,29,55,27
104.25,8,93,3,28,58,36
125.81,9,112,6,38,73,36
185.45,7,169,0,48,89,28
148.73,6,133,1,51,83,30
105.79,5,93,0,38,69,22
104.68,5,93,0,31,63,29
128.95,10,115,1,57,63,63
184.25,11,169,6,31,75,62
171.25,11,156,0,44,76,55
78.45,5,67,6,31,63,14
61.6,5,46,0,15,53,26
62.2,6,49,0,19,53,27
68.3,5,58,1,27,55,28
78.9,6,67,1,31,64,31
98.59,6,84,1,36,80,33
157.43,9,140,0,44,95,40
188.26,10,172,1,25,87,50
163.35,13,147,3,28,73,79
112.48,6,100,1,35,66,35
100.85,5,87,0,46,73,25
