Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
08/25/2009,69,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,9,46,20,48,69,31
08/26/2009,69,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,9,32,17,19,69,32
08/27/2009,58,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,9,32,11,9,58,17
08/28/2009,72,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,10,40,19,27,72,47
08/29/2009,55,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,9,24,26,31,55,23
08/30/2009,51,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,8,31,10,18,51,24
08/31/2009,52,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,10,35,36,17,52,34
09-01-2009,55,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,13,48,34,26,55,53
09-02-2009,90,Ozone,SEARS TOWER,17-031-0042,AQS,13,90,21,33,68,46
09-03-2009,87,Ozone,SEARS TOWER,17-031-0042,AQS,11,87,39,33,73,44
09-04-2009,105,Ozone,SEARS TOWER,17-031-0042,AQS,13,105,29,35,82,56
09-05-2009,119,Ozone,SEARS TOWER,17-031-0042,AQS,11,119,26,37,94,46
09-06-2009,97,PM205,CITY HALL,17-043-4002,AQS,8,87,30,34,97,36
09-07-2009,87,PM205,CITY HALL,17-043-4002,AQS,9,71,55,29,87,31
09-08-2009,90,SO2,NIPSCO Wheatfield,18-073-0002,AQS,10,47,90,33,75,42
09-09-2009,87,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,9,48,16,33,87,33
09-10-2009,83,PM205,CITY HALL,17-043-4002,AQS,9,61,39,52,83,38
09-11-2009,84,Ozone,SEARS TOWER,17-031-0042,AQS,13,84,37,33,72,37
09-12-2009,78,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,7,51,59,34,78,48
09/13/2009,73,PM205,Gary- Burr St0/ pumping station near truck stop,18-089-0026,AQS,10,50,30,41,73,48
09/14/2009,90,SO2,NIPSCO Wheatfield,18-073-0002,AQS,16,84,90,54,72,60
09/15/2009,69,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,16,45,24,41,69,55
