Overall AQI Value,CO,Ozone,SO2,PM10,PM25,NO2,Wens AQI
79,32,32,46,19,79,39,89.32
70,38,31,39,39,68,70,84
68,28,19,64,31,64,68,82.17
62,16,28,43,42,57,62,74.26
54,28,29,54,10,52,30,64.54
71,32,20,20,27,71,51,81.39
63,27,17,34,18,63,38,71.47
49,28,27,20,12,49,30,55.96
59,20,29,59,14,39,49,69.42
54,20,27,54,39,45,38,64.2
82,17,31,69,16,50,82,95.97
107,18,22,49,23,62,107,119.83
61,22,25,43,19,61,47,71.33
52,26,24,47,23,52,38,62.18
68,28,19,40,20,68,42,77.45
112,34,26,82,46,112,86,130.86
97,35,16,51,31,97,53,108.98
93,22,18,54,32,93,35,104.11
82,34,24,39,60,82,57,95.55
60,23,33,30,51,37,60,70.99
59,22,31,13,52,59,35,69.74
93,19,19,56,31,93,35,104.34
66,19,12,30,34,55,66,77.05
70,27,19,34,21,70,53,80.8
67,26,26,59,44,67,57,80.36
48,23,32,30,17,45,48,57.58
42,16,33,34,25,24,42,49.89
49,17,32,20,49,35,31,57.04
54,26,29,26,19,54,46,63.58
92,32,10,50,50,92,68,106.44
81,27,17,46,20,81,77,95.96
93,31,10,64,35,76,93,109.02
118,30,26,118,36,56,55,130.73
126,33,23,126,42,62,94,144.93
90,35,20,41,24,60,90,102.43
55,20,19,55,29,45,30,64.42
77,22,21,77,40,52,61,90.2
76,24,12,37,28,76,64,88.61
84,30,22,29,22,84,58,95.44
117,31,19,61,37,117,41,129.75
110,23,20,110,17,39,40,118.98
133,18,31,80,119,133,38,156.41
67,23,22,67,25,61,40,79.33
98,23,33,39,14,51,98,108.86
73,32,27,54,31,73,73,88.18
74,31,31,40,44,74,69,88.28
95,24,19,46,28,95,77,110.08
76,31,13,37,45,76,45,86.49
78,27,17,50,26,78,35,88.48
77,25,29,77,76,72,45,93.73
81,42,19,76,58,80,81,98.99
99,34,11,70,59,99,63,114.62
101,36,11,101,71,87,87,120.65
91,34,7,27,38,91,54,102.29
116,32,10,40,35,116,48,126.64
106,24,15,37,38,106,37,114.92
87,23,35,87,24,65,29,99.79
57,24,35,47,50,57,39,68.57
67,25,18,29,29,67,36,75.11
66,22,24,16,30,66,43,75.03
72,23,13,49,17,64,72,84.98
44,20,21,29,13,44,37,51.95
47,24,23,47,14,39,40,56.03
57,20,21,57,17,53,30,67.44
59,19,25,44,16,59,48,69.44
73,20,23,29,20,73,50,83.01
70,17,21,70,33,53,27,80.73
101,27,19,101,23,66,42,114.19
92,27,13,61,43,92,46,104.98
153,32,15,20,45,153,38,162.84
124,35,27,36,40,124,40,133.69
69,25,27,49,28,69,40,79.7
98,18,26,80,42,98,65,114.79
50,17,30,50,19,21,30,56.97
73,18,28,14,18,39,73,81.11
93,28,25,41,36,83,93,109.03
81,36,18,21,28,81,52,91.76
95,26,14,21,31,95,34,102.73
73,20,27,60,29,73,57,86.17
60,18,13,44,22,60,40,69.53
110,15,22,110,25,48,38,120.19
95,9,26,95,36,52,40,106.13
59,9,24,49,59,58,42,71.56
56,11,27,56,33,43,36,65.56
48,15,25,33,24,48,42,57.08
72,13,26,50,72,65,56,86.2
64,11,24,44,34,64,47,74.52
99,16,23,46,33,99,61,111.73
97,19,28,97,76,78,60,114.45
82,20,29,39,82,76,65,98.21
67,20,20,40,21,67,37,75.87
62,17,27,62,25,49,42,72.66
69,14,27,51,69,66,61,83.65
99,14,29,59,81,99,82,117.25
137,13,27,50,137,133,55,161.37
128,13,26,77,106,128,50,149.4
76,23,20,46,30,76,51,87.21
52,22,27,52,31,45,37,61.98
81,15,33,74,70,81,44,97.29
83,33,26,47,51,83,69,97.76
87,25,12,59,49,87,60,100.55
67,23,25,44,19,67,64,79.95
99,25,25,31,28,99,62,111.16
77,25,9,65,37,77,50,90.58
89,25,15,21,27,89,34,96.52
116,24,11,37,45,116,30,125.79
89,28,18,46,43,89,58,101.6
63,16,27,59,52,63,40,75.95
55,24,22,36,25,54,55,66.1
54,23,23,54,30,53,49,65.69
