Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
10/24/2017,25,NO2,IEPA TRAILER,17-031-3103,AQS,2,23,24,6,24,25
10/25/2017,40,PM2.5,MAYFAIR PUMP STATION,17-031-0052,AQS,6,29,31,14,40,35
10/26/2017,42,PM2.5,SPRINGFIELD PUMP STATION,17-031-0057,AQS,7,32,7,15,42,31
10/27/2017,28,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,2,24,16,21,28,21
10/28/2017,28,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,2,28,20,6,20,17
10/29/2017,35,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,2,35,16,9,29,34
10/30/2017,33,SO2,NIPSCO Dunes Acres,18-127-0011,AQS,2,27,33,25,33,18
10/31/2017,29,NO2,COOK COUNTY TRAILER,17-031-4002,AQS,2,28,20,21,28,29
11-01-2017,46,PM2.5,CARY GROVE HS,17-111-0001,AQS,2,21,3,12,46,31
11-02-2017,54,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,6,16,3,10,54,25
11-03-2017,44,PM2.5,IEPA TRAILER,17-031-3103,AQS,5,28,7,17,44,22
11-04-2017,53,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,6,22,6,10,53,19
11-05-2017,62,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,7,18,4,16,62,24
11-06-2017,42,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,6,27,3,18,42,26
11-07-2017,38,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,7,31,4,18,38,38
11-08-2017,57,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,8,31,7,46,57,44
11-09-2017,44,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,9,33,14,34,44,40
11-10-2017,42,NO2,CTA BUILDING,17-031-0063,AQS,6,31,4,35,37,42
11-11-2017,45,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,7,23,3,17,45,30
11-12-2017,70,PM2.5,East Chicago- Franklin School/ Washington School (Ben. Franklin),18-089-0006,AQS,6,15,4,25,70,39
11/13/2017,81,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,6,22,16,44,81,37
11/14/2017,64,PM2.5,MAYFAIR PUMP STATION,17-031-0052,AQS,5,28,3,25,64,33
11/15/2017,58,PM2.5,IEPA TRAILER,17-031-3103,AQS,3,20,14,14,58,26
11/16/2017,28,PM2.5,CITY HALL,17-043-4002,AQS,3,21,19,21,28,25
11/17/2017,50,PM2.5,MAYFAIR PUMP STATION,17-031-0052,AQS,3,17,3,13,50,25
11/18/2017,47,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,5,25,3,11,47,24
11/19/2017,43,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,29,19,19,43,25
11/20/2017,30,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,3,30,4,28,29,27
11/21/2017,42,PM2.5,IEPA TRAILER,17-031-3103,AQS,3,25,10,27,42,33
11/22/2017,37,NO2,CTA BUILDING,17-031-0063,AQS,6,27,6,21,34,37
11/23/2017,55,PM2.5,CITY HALL,17-043-4002,AQS,5,26,3,20,55,36
11/24/2017,55,PM2.5,CITY HALL,17-043-4002,AQS,6,28,3,23,55,33
11/25/2017,40,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,7,32,23,35,40,35
11/26/2017,49,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,7,29,4,16,49,37
11/27/2017,167,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,30,27,80,167,79
11/28/2017,60,PM10,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,34,51,60,59,39
11/29/2017,60,SO2,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,29,60,31,36,37
11/30/2017,51,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,30,40,45,51,34
12-01-2017,53,PM2.5,SPRINGFIELD PUMP STATION,17-031-0057,AQS,10,29,4,44,53,50
12-02-2017,72,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,10,29,11,40,72,41
12-03-2017,85,PM2.5,IEPA TRAILER,17-031-3103,AQS,13,32,29,45,85,62
12-04-2017,55,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,3,34,4,52,55,29
12-05-2017,49,PM10,WASHINGTON HS,17-031-0022,AQS,3,31,30,49,38,22
12-06-2017,32,PM10,WASHINGTON HS,17-031-0022,AQS,5,31,31,32,25,32
12-07-2017,33,PM2.5,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,6,28,11,31,33,25
12-08-2017,51,PM10,WASHINGTON HS,17-031-0022,AQS,3,27,6,51,28,37
12-09-2017,56,PM10,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,29,11,56,40,26
12-10-2017,34,PM2.5,CITY HALL,17-043-4002,AQS,5,22,4,22,34,25
12-11-2017,59,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,7,30,3,29,59,34
12-12-2017,60,PM10,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,31,31,60,44,34
12/13/2017,49,PM10,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,31,26,49,47,29
12/14/2017,50,PM10,Portage- Hwy 12,18-127-0023,AQS,7,31,10,50,38,41
12/15/2017,44,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,29,14,33,44,37
12/16/2017,51,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,7,28,4,35,51,39
12/17/2017,77,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,11,29,4,35,77,44
12/18/2017,61,PM2.5,MCKINLEY SCHOOL,17-089-0003,AQS,5,19,6,22,61,28
12/19/2017,61,SO2,NIPSCO Dunes Acres,18-127-0011,AQS,5,30,61,29,48,34
12/20/2017,32,Ozone,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,32,4,18,31,31
12/21/2017,68,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,30,11,26,68,31
12/22/2017,75,PM2.5,COM ED TRAINING CENTER,17-197-1011,AQS,6,23,3,28,75,25
12/23/2017,57,PM2.5,COM ED TRAINING CENTER,17-197-1011,AQS,5,27,3,20,57,24
12/24/2017,60,PM2.5,Gary- Madison St./ Gary Water/ IN American Water Co.,18-089-0031,AQS,6,30,17,16,60,30
12/25/2017,34,Ozone,COOK COUNTY TRAILER,17-031-4002,AQS,3,34,31,15,25,16
12/26/2017,38,PM2.5,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,5,34,23,22,38,38
12/27/2017,63,PM2.5,IEPA TRAILER,17-031-3103,AQS,7,29,6,34,63,42
12/28/2017,60,PM2.5,CITY HALL,17-043-4002,AQS,9,26,3,30,60,50
12/29/2017,68,PM2.5,CITY HALL,17-043-4002,AQS,6,29,10,31,68,38
12/30/2017,62,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,34,36,35,62,37
12/31/2017,50,PM2.5,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,7,31,36,20,50,38
01-01-2018,47,PM2.5,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,6,30,20,18,47,38
01-02-2018,59,PM2.5,East Chicago- Franklin School/ Washington School (Ben. Franklin),18-089-0006,AQS,5,31,3,31,59,36
01-03-2018,59,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,31,36,28,59,31
01-04-2018,53,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,33,14,33,53,42
01-05-2018,63,NO2,COM ED MAINTENANCE BLDG,17-031-0076,AQS,8,32,20,35,61,63
01-06-2018,65,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,31,39,37,65,43
01-07-2018,58,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,5,28,3,23,58,31
01-08-2018,74,PM2.5,COM ED TRAINING CENTER,17-197-1011,AQS,5,27,3,20,74,24
01-09-2018,89,PM2.5,MAYFAIR PUMP STATION,17-031-0052,AQS,6,16,1,27,89,30
01-10-2018,53,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,6,27,1,13,53,27
01-11-2018,32,PM2.5,PERSHING SCHOOL,17-197-1002,AQS,5,24,4,6,32,30
01-12-2018,58,PM10,Portage- Hwy 12,18-127-0023,AQS,6,38,1,58,30,18
01/13/2018,36,PM2.5,PERSHING SCHOOL,17-197-1002,AQS,7,31,3,19,36,34
01/14/2018,61,PM2.5,Gary- Burr St./ pumping station near truck stop,18-089-0026,AQS,9,29,4,19,61,44
01/15/2018,56,PM2.5,NORTHBROOK WATER PLANT,17-031-4201,AQS,3,29,3,16,56,30
01/16/2018,61,NO2,IEPA TRAILER,17-031-3103,AQS,9,32,10,19,55,61
01/17/2018,62,PM2.5,IEPA TRAILER,17-031-3103,AQS,10,29,13,35,62,42
01/18/2018,61,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,3,28,4,40,61,29
01/19/2018,55,PM2.5,COM ED TRAINING CENTER,17-197-1011,AQS,3,31,4,32,55,27
01/20/2018,60,PM2.5,IEPA TRAILER,17-031-3103,AQS,3,25,4,21,60,35
01/21/2018,68,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,5,22,4,20,68,28
01/22/2018,38,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,3,31,7,8,38,33
01/23/2018,53,PM2.5,CARY GROVE HS,17-111-0001,AQS,7,32,3,13,53,23
01/24/2018,41,PM2.5,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,7,29,3,14,41,31
01/25/2018,59,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,6,24,4,21,59,32
01/26/2018,40,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,6,38,4,26,40,30
01/27/2018,49,PM2.5,PERSHING SCHOOL,17-197-1002,AQS,6,33,13,21,49,33
01/28/2018,52,PM2.5,SPRINGFIELD PUMP STATION,17-031-0057,AQS,7,32,6,17,52,44
01/29/2018,31,Ozone,CARY GROVE HS,17-111-0001,AQS,6,31,3,25,25,27
01/30/2018,40,NO2,COM ED MAINTENANCE BLDG,17-031-0076,AQS,6,32,17,32,39,40
01/31/2018,48,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,3,24,7,37,48,24
02-01-2018,44,PM10,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,32,13,44,40,23
02-02-2018,32,Ozone,CARY GROVE HS,17-111-0001,AQS,6,32,9,24,27,24
