Overall AQI Value,Ozone,PM25,NO2
77,32,77,38
61,45,61,37
43,43,40,28
45,36,45,31
53,46,53,52
67,61,53,61
88,64,45,88
114,64,74,105
47,43,47,37
54,51,49,54
122,122,63,38
151,97,151,41
100,100,55,44
56,36,56,45
78,38,78,43
65,54,65,42
77,44,43,26
41,37,41,40
66,48,28,66
89,46,58,62
69,54,69,60
56,50,56,51
64,49,41,64
129,129,63,63
72,64,69,72
61,47,43,56
77,34,77,70
46,46,42,44
51,45,30,51
75,46,49,54
65,45,52,65
61,61,47,52
64,49,64,53
62,47,61,62
58,40,58,52
75,61,75,71
62,61,59,62
43,35,18,24
85,49,85,62
74,74,59,63
71,46,60,71
60,50,60,51
72,58,66,68
81,80,81,50
77,48,77,54
105,32,105,43
51,47,47,44
96,31,27,41
54,54,33,54
78,74,45,78
74,51,74,65
77,44,77,56
63,45,63,56
59,44,59,55
73,44,69,73
61,39,61,55
68,48,68,60
49,44,35,49
71,49,29,63
81,71,81,66
95,74,77,64
69,49,60,69
101,101,76,81
79,71,79,78
101,101,69,79
73,44,58,73
80,80,51,65
64,64,57,63
66,46,66,44
67,45,67,52
63,54,44,63
67,61,67,55
79,64,72,39
109,84,56,64
129,129,72,90
140,140,79,94
43,43,27,35
56,54,56,49
105,105,73,55
143,143,68,68
164,164,85,64
179,179,93,69
174,174,97,66
60,41,56,34
61,61,48,51
54,54,49,43
57,50,53,57
101,101,59,73
147,147,71,89
190,190,86,93
112,112,81,77
164,164,102,83
159,159,79,60
87,87,55,42
67,67,62,53
55,46,55,46
63,44,38,63
72,41,31,50
76,37,33,45
48,48,48,48
97,97,63,76
101,101,91,71
97,97,64,52
64,50,41,64
80,80,67,61
56,42,56,50
74,74,52,65
71,51,71,50
64,64,42,53
45,39,35,45
45,29,29,45
46,46,28,46
80,80,62,51
90,90,81,38
66,44,66,32
52,43,43,52
67,64,65,64
108,108,68,68
147,147,84,60
84,84,83,62
77,77,44,46
56,42,56,51
70,64,70,50
84,84,74,55
